Date,Cumulative Total Return (Net Dividends)
1952-05-09,43.0972
1952-05-12,42.557
1952-05-13,42.7371
1952-05-14,42.1369
1952-05-15,41.6567
1952-05-16,41.4166
1952-05-19,41.7167
1952-05-20,42.497
1952-05-21,42.7371
1952-05-22,43.5174
1952-05-23,43.3974
1952-05-26,43.6975
1952-05-27,43.3373
1952-05-28,43.0972
1952-05-29,43.2173
1952-06-02,42.8571
1952-06-03,42.7371
1952-06-04,43.7575
1952-06-05,44.6579
1952-06-06,45.6182
1952-06-09,46.2785
1952-06-10,45.4382
1952-06-11,45.9184
1952-06-12,45.9184
1952-06-13,46.2785
1952-06-16,45.8583
1952-06-17,46.0384
1952-06-18,46.6387
1952-06-19,47.1188
1952-06-20,47.599
1952-06-23,47.419
1952-06-24,47.6591
1952-06-25,48.0192
1952-06-26,48.5594
1952-06-27,49.0396
1952-06-30,49.8199
1952-07-01,50.7803
1952-07-02,50.4202
1952-07-03,50.3601
1952-07-07,49.88
1952-07-08,49.8199
1952-07-09,49.2197
1952-07-10,48.9196
1952-07-11,49.94
1952-07-14,50.2401
1952-07-15,51.0204
1952-07-16,51.0204
1952-07-17,50.3601
1952-07-18,49.1597
1952-07-21,49.7599
1952-07-22,50.06
1952-07-23,50.7203
1952-07-24,51.5006
1952-07-25,51.0204
1952-07-28,51.2605
1952-07-29,51.6206
1952-07-30,52.2809
1952-07-31,52.461
1952-08-01,52.7611
1952-08-04,52.6411
1952-08-05,52.8211
1952-08-06,52.7011
1952-08-07,53.1813
1952-08-08,53.3613
1952-08-11,53.1813
1952-08-12,51.9208
1952-08-13,51.7407
1952-08-14,51.7407
1952-08-15,51.2605
1952-08-18,49.6999
1952-08-19,49.3998
1952-08-20,49.7599
1952-08-21,49.94
1952-08-22,50
1952-08-25,49.2797
1952-08-26,49.0396
1952-08-27,49.6999
1952-08-28,49.88
1952-08-29,50.2401
1952-09-02,50.9604
1952-09-03,51.5606
1952-09-04,51.5006
1952-09-05,51.3205
1952-09-08,50.7203
1952-09-09,49.2197
1952-09-10,48.1993
1952-09-11,48.3794
1952-09-12,48.3193
1952-09-15,46.7587
1952-09-16,47.2389
1952-09-17,47.539
1952-09-18,47.1188
1952-09-19,47.479
1952-09-22,47.599
1952-09-23,48.2593
1952-09-24,48.7995
1952-09-25,48.9196
1952-09-26,48.4394
1952-09-29,48.1393
1952-09-30,47.2989
1952-10-01,46.9388
1952-10-02,47.1789
1952-10-03,47.0588
1952-10-06,46.6987
1952-10-07,46.4586
1952-10-08,47.539
1952-10-09,47.479
1952-10-10,47.3589
1952-10-14,46.9388
1952-10-15,44.4178
1952-10-16,43.5174
1952-10-17,45.2581
1952-10-20,44.8379
1952-10-21,44.4778
1952-10-22,42.8571
1952-10-23,43.2773
1952-10-24,44.2377
1952-10-27,44.5978
1952-10-28,44.8379
1952-10-29,44.958
1952-10-30,44.958
1952-10-31,47.1789
1952-11-03,47.6591
1952-11-05,48.0792
1952-11-06,48.6795
1952-11-07,48.7395
1952-11-10,48.6795
1952-11-12,47.9592
1952-11-13,48.3193
1952-11-14,48.5594
1952-11-17,48.8595
1952-11-18,51.0204
1952-11-19,52.0408
1952-11-20,51.7407
1952-11-21,51.6807
1952-11-24,52.581
1952-11-25,52.2209
1952-11-26,53.1813
1952-11-28,54.0216
1952-12-01,54.1417
1952-12-02,54.5018
1952-12-03,54.3217
1952-12-04,53.7215
1952-12-05,53.7815
1952-12-08,54.6218
1952-12-09,55.6423
1952-12-10,55.9424
1952-12-11,55.8223
1952-12-12,56.3025
1952-12-15,56.3025
1952-12-16,56.4826
1952-12-17,56.3025
1952-12-18,56.2425
1952-12-19,56.9628
1952-12-22,57.8631
1952-12-23,57.2029
1952-12-24,57.3229
1952-12-26,57.563
1952-12-29,58.4634
1952-12-30,59.6038
1952-12-31,59.4838
1953-01-02,59.3037
1953-01-05,60.024
1953-01-06,58.9436
1953-01-07,58.2833
1953-01-08,58.0432
1953-01-09,56.5426
1953-01-12,55.2221
1953-01-13,56.1825
1953-01-14,56.5426
1953-01-15,56.8427
1953-01-16,56.1825
1953-01-19,56.1224
1953-01-20,56.9028
1953-01-21,56.6026
1953-01-22,56.7827
1953-01-23,56.4826
1953-01-26,56.1825
1953-01-27,56.3625
1953-01-28,56.8427
1953-01-29,57.2629
1953-01-30,58.3433
1953-02-02,59.1236
1953-02-03,59.3037
1953-02-04,58.5834
1953-02-05,56.9628
1953-02-06,54.922
1953-02-09,54.2017
1953-02-10,53.7815
1953-02-11,53.9016
1953-02-13,54.5018
1953-02-16,53.9616
1953-02-17,53.0612
1953-02-18,52.9412
1953-02-19,53.4814
1953-02-20,53.8415
1953-02-24,54.5618
1953-02-25,55.5222
1953-02-26,55.7623
1953-02-27,55.4622
1953-03-02,55.6423
1953-03-03,56.0624
1953-03-04,54.7419
1953-03-05,54.8019
1953-03-06,55.102
1953-03-09,55.042
1953-03-10,55.5222
1953-03-11,56.7827
1953-03-12,56.8427
1953-03-13,57.1429
1953-03-16,57.383
1953-03-17,58.0432
1953-03-18,57.503
1953-03-19,57.383
1953-03-20,57.1429
1953-03-23,56.1825
1953-03-24,57.0828
1953-03-25,56.6627
1953-03-26,55.7623
1953-03-27,56.0024
1953-03-30,53.7215
